fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y
1001,6221,13400,0,19621,0.3170582539116253,0.6829417460883747,0,0.7673240414239829
1003,17779,59992,0,77771,0.2286070643298916,0.7713929356701084,0,1.2161932344646538
1005,4162,4191,0,8353,0.4982640967317132,0.5017359032682869,0,0.006943640971491808
1007,1559,5299,0,6858,0.2273257509477982,0.7726742490522018,0,1.2234735334349855
1009,52,364,0,416,0.125,0.875,0,1.9459101490553132
1011,2830,850,0,3680,0.7690217391304348,0.23097826086956522,0,-1.202795641152921
1013,3693,4414,0,8107,0.4555322560749969,0.5444677439250031,0,0.17834217196411842
1015,12178,24695,0,36873,0.33026876033954383,0.6697312396604561,0,0.7069697488062058
1017,4777,6524,0,11301,0.4227059552252013,0.5772940447747987,0,0.3116749503509426
1019,55,248,0,303,0.18151815181518152,0.8184818481848185,0,1.5060955609325113
1021,2060,10684,0,12744,0.16164469554300062,0.8383553044569994,0,1.6460413124462245
1025,397,258,0,655,0.6061068702290077,0.3938931297709924,0,-0.43097669576557296
1027,1051,4331,0,5382,0.19528056484578224,0.8047194351542177,0,1.4160563703376756
1029,462,3950,0,4412,0.10471441523118767,0.8952855847688124,0,2.145905966813429
1031,4142,11754,0,15896,0.26056869652742826,0.7394313034725717,0,1.0430148452170662
1033,6912,13694,0,20606,0.33543628069494325,0.6645637193050568,0,0.6836987491971166
1035,2463,2391,0,4854,0.507416563658838,0.4925834363411619,0,-0.02966843066221313
1037,1439,2814,0,4253,0.33834940042323064,0.6616505995767693,0,0.6706585307869666
1039,2363,9617,0,11980,0.19724540901502505,0.8027545909849749,0,1.403600367525574
1041,1770,3579,0,5349,0.3309029725182277,0.6690970274817722,0,0.704103885198151
1043,3359,25245,0,28604,0.11743112851349462,0.8825688714865054,0,2.0169848056807234
1045,4261,9927,0,14188,0.30032421764871725,0.6996757823512828,0,0.8457544430898098
1049,3699,17469,0,21168,0.1747448979591837,0.8252551020408163,0,1.5523653686727756
1051,8292,21018,0,29310,0.282906857727738,0.7170931422722621,0,0.9300880188698717
1053,3763,8313,0,12076,0.31160980457105003,0.68839019542895,0,0.7926040429376509
1055,9005,25387,0,34392,0.26183414747615724,0.7381658525238427,0,1.0364572533529806
1057,1493,5851,0,7344,0.20329520697167755,0.7967047930283224,0,1.3658250682490458
1059,1866,6850,0,8716,0.2140890316659018,0.7859109683340982,0,1.300451549848982
1061,1544,7365,0,8909,0.1733078908968459,0.8266921091031542,0,1.562362598312009
1067,2253,4418,0,6671,0.33773047519112576,0.6622695248088742,0,0.673424443547818
1069,9957,22077,0,32034,0.3108259973777861,0.6891740026222138,0,0.7962605212066244
1071,3517,11999,0,15516,0.22666924465068317,0.7733307553493168,0,1.2272149594904065
1073,4243,2261,0,6504,0.6523677736777368,0.3476322263222632,0,-0.629463372924355
1075,824,4532,0,5356,0.15384615384615385,0.8461538461538461,0,1.7047480922384253
1077,10288,20503,0,30791,0.33412360754766,0.66587639245234,0,0.6895930494056461
1079,3183,8605,0,11788,0.2700203596878181,0.7299796403121819,0,0.994519281363547
