fips,votes.dem,votes.rep,votes.other,total,share.dem,share.rep,share.other,Y,rep.past,dem.past,other.past,cvap,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,ruralurban_cc,voterID,state_fips,state,state_po,state_code
1035,2463,2391,0,4854,0.507416563658838,0.4925834363411619,0,-0.02966843066221313,13046,12850,163,9825,50.72064267,46.21564149,1.764196267,49.27935733,0.850594629,52.52421832,35.65409152,20.26462944,27609,20.42785235,20.57220708,91.33742053,19.67814219,89.346099,80.94950106,7,1,1,Alabama,AL,1
1037,1439,2814,0,4253,0.33834940042323064,0.6616505995767693,0,0.6706585307869666,13145,7527,129,8755,65.02209131,32.36377025,1.288659794,34.97790869,1.251840943,50.70876289,31.08431517,18.66715758,31910,12.57582828,27.06462628,90.059441,22.33138107,90.00566786,100,8,1,1,Alabama,AL,1
1039,2363,9617,0,11980,0.19724540901502505,0.8027545909849749,0,1.403600367525574,47650,12044,2243,29295,83.51400779,12.97675528,1.531978054,16.48599221,0.954173182,51.71088553,35.34416497,20.17811233,37313,10.65949023,19.06613317,85.07851427,17.97342485,83.80851813,69.65179399,6,1,1,Alabama,AL,1
1041,1770,3579,0,5349,0.3309029725182277,0.6690970274817722,0,0.704103885198151,16523,7665,637,10535,70.86931491,23.67587795,1.683937824,29.13068509,2.288428325,50.61168682,36.8955095,17.50863558,37557,7.355573637,21.68359334,85.35231913,20.75146996,84.58339309,100,8,1,1,Alabama,AL,1
1043,3359,25245,0,28604,0.11743112851349462,0.8825688714865054,0,2.0169848056807234,127228,14057,1860,61625,92.46396773,1.036696345,4.213192976,7.536032269,2.833390723,50.56323479,36.93246102,17.75173398,39297,6.064756798,17.84350976,85.03098201,16.80474043,84.79930554,73.23955924,4,1,1,Alabama,AL,1
1045,4261,9927,0,14188,0.30032421764871725,0.6996757823512828,0,0.8457544430898098,49556,20395,3689,37405,70.19170682,19.40250368,5.888281896,29.80829318,2.745580261,50.72671196,39.98226057,15.42927409,44093,10.39244186,14.1653928,83.93130114,12.7444233,83.18286709,50.88853953,4,1,1,Alabama,AL,1
1049,3699,17469,0,21168,0.1747448979591837,0.8252551020408163,0,1.5523653686727756,80762,13610,1458,49580,81.01554901,1.477367241,14.01525297,18.98445099,7.276879485,50.47154517,39.04591398,15.53209186,38248,6.33996117,27.36298482,88.63406408,22.25846803,88.02825538,90.1306445,6,1,1,Alabama,AL,1
1051,8292,21018,0,29310,0.282906857727738,0.7170931422722621,0,0.9300880188698717,101997,36803,6174,61485,73.6885013,21.11244241,2.801487209,26.3114987,1.951653347,51.39765555,38.66373507,13.88761935,53398,7.47316153,13.17197452,77.76160146,11.42097643,75.87401799,54.18836614,2,1,1,Alabama,AL,1
1053,3763,8313,0,12076,0.31160980457105003,0.68839019542895,0,0.7926040429376509,38853,14719,609,29330,60.59405941,32.330033,2.059405941,39.40594059,0.736633663,48.80528053,37.73729373,16.65742574,32334,15.23708422,19.54429004,88.37434982,16.45287564,86.32941885,63.51157389,6,1,1,Alabama,AL,1
1055,9005,25387,0,34392,0.26183414747615724,0.7381658525238427,0,1.0364572533529806,126769,35226,2847,78780,78.43135358,15.28496657,3.629925602,21.56864642,2.882075791,51.62001877,36.35730387,17.36307963,40478,8.455825639,17.54909618,83.5081455,16.08322212,82.38031687,37.48348176,3,1,1,Alabama,AL,1
1057,1493,5851,0,7344,0.20329520697167755,0.7967047930283224,0,1.3658250682490458,26013,4676,322,13155,85.22910088,12.23857475,0.858011083,14.77089912,0.560090568,50.47965203,34.81499136,19.54954418,36205,8.774761555,20.76910046,85.85465018,21.22284479,84.87171926,80.23316513,6,1,1,Alabama,AL,1
1059,1866,6850,0,8716,0.2140890316659018,0.7859109683340982,0,1.300451549848982,34766,8218,637,21935,78.07303709,4.060431381,16.01684984,21.92696291,8.884173186,50.73955595,39.46093181,16.03585342,36138,9.712943249,24.33103976,87.60990061,19.41580756,85.9908362,70.36651527,6,1,1,Alabama,AL,1
1061,1544,7365,0,8909,0.1733078908968459,0.8266921091031542,0,1.562362598312009,34331,8904,2529,20515,84.06127405,9.422753596,3.706332897,15.93872595,1.677563983,51.16009714,35.27367831,18.95012143,36519,10.31516109,22.31321457,88.33820792,20.93467151,87.69780186,89.64165733,3,1,1,Alabama,AL,1
1067,2253,4418,0,6671,0.33773047519112576,0.6622695248088742,0,0.673424443547818,20230,10868,1365,13335,68.56344912,27.88735672,2.530982719,31.43655088,1.710595217,51.70186769,33.61843254,20.63187293,41045,7.529843893,19.30283937,83.85565829,14.453125,81.58318015,87.75286094,3,1,1,Alabama,AL,1
1069,9957,22077,0,32034,0.3108259973777861,0.6891740026222138,0,0.7962605212066244,109067,49258,9019,78085,67.4524261,26.37475816,3.186994061,32.5475739,2.316851315,52.08247105,38.3979363,16.04855089,41945,8.069254984,15.09615249,78.98209769,11.07884965,75.15406494,33.80405133,3,1,1,Alabama,AL,1
1071,3517,11999,0,15516,0.22666924465068317,0.7733307553493168,0,1.2272149594904065,62373,18560,1002,40730,89.49209246,3.294175791,2.727722019,10.50790754,2.256310827,51.02836071,34.84260949,18.4515663,38422,8.609415867,20.51510008,87.42153614,19.83294829,87.28748297,77.01730325,6,1,1,Alabama,AL,1
1073,4243,2261,0,6504,0.6523677736777368,0.3476322263222632,0,-0.629463372924355,543253,634167,16563,491015,50.67091896,42.33965917,3.689295641,49.32908104,3.925831745,52.66683457,39.652342,14.31005498,47220,8.217166201,11.0052298,68.5597527,7.889073154,59.44232059,9.833765145,1,1,1,Alabama,AL,1
1075,824,4532,0,5356,0.15384615384615385,0.8461538461538461,0,1.7047480922384253,22594,3807,229,10960,86.13678373,11.26119721,1.428977677,13.86321627,0.846011659,51.56405517,34.08929333,20.21896772,34298,9.525483304,22.5845169,86.93738748,21.95734003,86.55184214,100,8,1,1,Alabama,AL,1
1077,10288,20503,0,30791,0.33412360754766,0.66587639245234,0,0.6895930494056461,105612,45920,2261,72735,84.99152643,9.763495644,2.393108883,15.00847357,2.053086646,52.22309776,37.80291664,18.31262616,43657,7.640391308,15.13745487,78.32077025,13.86323639,77.64754976,49.29510619,3,1,1,Alabama,AL,1
1079,3183,8605,0,11788,0.2700203596878181,0.7299796403121819,0,0.994519281363547,40623,12867,688,25995,76.6577932,11.36601561,2.066820208,23.3422068,0.726826788,51.32952472,35.86875243,16.1517064,42339,8.315177923,22.45699407,89.69138174,23.3167966,90.16518563,91.28978712,3,1,1,Alabama,AL,1
1081,21002,28268,0,49270,0.42626344631621677,0.5737365536837833,0,0.2971127515448062,140404,85234,4376,115345,67.86751285,23.08651679,3.690231054,32.13248715,5.157619181,50.61482198,49.20264766,10.32108453,45056,6.0705289670000004,11.28758366,65.58785336,7.616715585,61.11534532,27.40949896,3,1,1,Alabama,AL,1
1083,10343,23141,0,33484,0.308893800023892,0.691106199976108,0,0.8052959736478682,112658,39773,2197,67250,77.43665311,12.67491718,5.689309416,22.56334689,4.329858072,49.98061092,37.58157262,13.91027843,51115,7.943644363,16.84344574,76.73931266,14.9047667,75.57795022,57.60914208,2,1,1,Alabama,AL,1
1087,5988,1235,0,7223,0.8290184134016336,0.17098158659836632,0,-1.5786864964774414,5915,31453,177,16035,15.42369437,81.53322495,1.646006909,84.57630563,1.127819549,53.91180654,42.58280837,16.74964438,32390,15.03692101,19.53439665,79.95811181,13.47424042,77.49889916,55.54726832,6,1,1,Alabama,AL,1
1089,66424,74838,0,141262,0.4702184593167306,0.5297815406832694,0,0.11926734041189757,374939,251371,13826,261510,65.43104754,23.98299297,4.675217803,34.56895246,5.560714684,51.11480028,39.39989656,13.66791152,60150,7.333547231,9.185168298,59.32807309,6.896112328,55.70044235,16.44151477,2,1,1,Alabama,AL,1
1093,1273,8570,0,9843,0.1293304886721528,0.8706695113278472,0,1.906891413034419,43007,5642,584,23725,92.04669467,3.247461887,2.400873045,7.953305334,1.617116968,50.53407851,34.31330401,20.09656404,34074,7.648168527,20.10864519,87.53366144,19.73841853,87.29532748,88.85495191,7,1,1,Alabama,AL,1
1095,4271,22915,0,27186,0.15710292062090783,0.8428970793790922,0,1.6799437261017578,113406,17114,2016,65925,82.34180295,2.090253242,12.9159879,17.65819705,7.170964944,50.70873971,39.31918675,16.4046798,39831,7.173792069,21.39475428,83.43275574,17.47013072,81.82098374,53.26868704,4,1,1,Alabama,AL,1
1097,60596,72498,0,133094,0.45528724059687137,0.5447127594031286,0,0.17933009097714897,394488,222548,12385,308975,57.85088259,35.20158536,2.64475936,42.14911741,3.105063832,52.13581758,40.70785993,14.543642030000001,44263,8.696854182,14.2226248,77.48760427,12.42496786,74.23375827,20.02024252,2,1,1,Alabama,AL,1
