Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
CA-14,72684,278227,0,4,0,-12,-27,742980,18900,0.025438101,324124,0.43624862,171545,0.230887776,377191,0.507673154,313672,0.422180947,126778,0.170634472,125980,3,49.5
CA-15,99710,242991,0,4,0,-12,-20,782312,38274,0.048924214,320614,0.409828815,168024,0.214778758,391156,0.5,337688,0.431653867,111508,0.142536482,125018,3.4,48
CA-16,88039,128690,0,4,0,-12,-9,753152,39749,0.052776863,421820,0.560072867,467971,0.621350006,378564,0.502639573,420607,0.558462302,83510,0.110880672,50401,9.6,13.2
CA-17,85199,212137,0,4,0,-12,-25,790519,17918,0.022666122,218288,0.276132515,127553,0.161353491,383261,0.484821997,372283,0.470934917,93986,0.118891513,147671,3.5,60.2
CA-19,88642,224385,0,4,0,-12,-24,737535,20816,0.028223745,346098,0.469263154,287932,0.390397744,361999,0.490822808,343562,0.465824673,105031,0.142408157,107240,3.8,37.1
CA-20,71658,236896,0,4,0,-12,-23,741838,17690,0.023846177,431723,0.581963987,401455,0.541162626,369953,0.498697829,366465,0.493995994,108553,0.146329792,80461,4.9,29.7
CA-21,85928,84406,0,4,0,-12,-5,729460,21050,0.028856963,518642,0.710994434,549049,0.752678694,347287,0.476087791,423043,0.579939956,66896,0.091706194,46037,9.3,10.7
CA-22,170888,144251,0,4,0,-12,8,768917,24551,0.031929324,507640,0.660201296,388738,0.50556562,385735,0.501660127,405364,0.52718824,97370,0.126632653,66532,6.6,24.5
CA-23,190222,115896,0,4,0,-12,14,741557,50086,0.067541672,535011,0.721469826,301731,0.406888479,369078,0.497706852,369529,0.498315032,103683,0.139817978,63550,8.1,22.1
CA-24,149781,212564,0,4,0,-12,-7,737443,15063,0.020425985,592003,0.802777977,272767,0.369882147,367640,0.498533446,354407,0.480589008,131583,0.178431418,76308,4.2,35.7
CA-25,169638,169305,0,4,0,-12,0,718949,72324,0.100596843,482656,0.671335519,287815,0.400327422,360800,0.501843663,339181,0.47177338,90980,0.126545833,84670,4.5,28.2
CA-26,135877,208856,0,4,0,-12,-7,725535,14221,0.019600708,588465,0.811077343,335047,0.461793022,365318,0.503515337,331820,0.457345269,117788,0.162346406,91602,4.2,35.2
CA-27,95907,221411,0,4,0,-12,-16,712783,27903,0.039146557,272974,0.382969291,198455,0.278422746,366560,0.514265913,293545,0.411829407,127025,0.178209918,90792,3.3,45.9
CA-28,91928,244471,0,4,0,-12,-23,693299,18925,0.027297025,465624,0.671606334,165802,0.239149342,352875,0.508979531,288239,0.415749915,113816,0.164165822,74431,5.5,48.1
CA-30,105426,240038,0,4,0,-12,-18,764062,34250,0.044826205,470231,0.615435658,223940,0.293091398,391797,0.512781685,320327,0.419242156,123773,0.161993398,89460,4.5,45.2
CA-31,110735,175315,0,4,0,-12,-8,753576,84285,0.111846715,455935,0.605028557,402897,0.534646804,383778,0.509275773,385552,0.511629882,93180,0.123650435,70554,5.2,25.9
CA-32,86818,172942,0,4,0,-12,-17,700726,18171,0.025931677,352520,0.503078236,427402,0.609941689,359912,0.513627295,315218,0.449844875,109428,0.15616375,71136,5.2,22.3
CA-33,123334,257094,0,4,0,-12,-16,703908,22288,0.031663229,502404,0.713735318,94703,0.134538889,361381,0.513392375,292666,0.415773084,127584,0.181250959,117012,4.3,66.6
CA-35,74941,169405,0,4,0,-12,-19,764643,40871,0.053451088,398056,0.520577577,544473,0.712061707,380142,0.49714965,402141,0.525919939,80097,0.104750845,73069,4.6,18.3
CA-36,121640,185051,0,4,0,-12,-2,755764,37386,0.049467823,538309,0.712271291,369004,0.488252947,375417,0.4967384,307665,0.407091367,177405,0.234735976,58728,7.2,24.2
CA-37,41705,254916,0,4,0,-12,-37,733668,160728,0.219074568,368150,0.501793727,293748,0.400382734,373093,0.508531107,360243,0.491016373,93744,0.127774416,69573,4.4,40.2
